max_tile,score
64,928
64,708
64,852
64,596
32,392
128,888
32,284
64,536
64,628
128,1160
32,284
64,1016
16,184
128,1112
256,2268
128,1252
64,496
128,980
64,524
128,1312
256,1996
128,964
128,948
128,1348
64,592
128,1396
128,1180
64,604
128,984
128,1280
64,648
256,2840
128,900
64,556
64,488
256,2756
64,720
128,1248
128,1492
64,676
128,1280
128,1156
128,1328
128,1096
256,2204
64,612
64,640
64,524
256,2084
128,1084
128,1320
64,624
64,868
128,1084
64,556
128,1268
128,1372
128,1236
64,564
64,572
256,1824
256,2068
256,1992
128,1140
128,1160
128,1588
128,996
128,1196
128,1208
128,1160
64,748
128,1312
256,2872
128,840
64,516
64,412
256,2740
128,1264
64,516
64,832
64,588
64,424
128,1304
128,1324
64,640
64,868
64,812
64,536
64,664
256,2212
64,516
64,800
128,1064
64,644
32,448
128,1180
128,1228
64,744
128,932
128,1336
256,2660
64,672
256,2300
128,1092
256,1908
64,580
128,1640
64,640
128,1012
256,2372
256,2132
128,1368
32,324
64,600
128,1636
32,304
128,812
128,1288
64,604
128,1392
256,1876
128,1200
128,1236
64,528
256,1952
32,268
256,2204
256,2184
128,884
64,648
128,1256
64,420
128,984
64,652
128,752
128,1196
128,1392
128,1432
32,272
128,1204
64,580
128,1276
64,536
64,624
128,976
256,2236
128,1404
64,596
128,1056
32,352
128,1188
128,1372
128,980
64,632
64,912
32,284
128,1916
128,1148
64,536
128,952
128,1208
64,516
128,1388
32,272
128,1072
64,592
128,1168
256,2220
64,756
128,1044
128,908
64,516
32,220
128,868
128,1332
32,252
64,532
64,672
64,424
256,2168
128,1352
64,520
128,1340
64,596
256,2512
128,1276
64,584
128,984
128,1036
128,1216
64,572
64,660
256,1996
64,808
128,1416
128,1236
64,788
128,964
32,376
128,1004
32,364
64,512
128,1220
128,1144
64,836
128,1220
128,1084
256,2008
64,640
64,892
64,584
128,1360
128,1048
64,536
128,1028
128,1236
64,748
64,656
256,2740
128,1236
256,2180
128,1268
128,968
128,876
64,572
128,940
32,440
128,1132
64,788
64,648
64,584
128,928
64,616
128,952
128,1476
32,344
64,588
32,416
128,1184
64,556
128,976
64,468
128,1424
256,2096
64,388
128,1680
256,2104
64,656
128,1236
64,532
64,636
128,1340
64,588
64,668
64,632
64,480
128,1272
64,500
128,940
64,712
64,560
128,1048
64,508
64,512
128,1036
128,1884
128,968
128,944
64,480
256,1832
64,948
256,1916
128,980
256,2956
64,712
64,756
128,1012
64,952
128,1348
64,532
32,372
32,280
64,436
64,672
64,596
256,2120
128,1000
64,900
256,2708
128,1404
64,548
64,816
128,992
128,1184
128,1024
64,708
64,648
256,2228
128,1656
64,468
32,404
128,1308
128,1148
128,1292
128,1048
256,2292
128,1420
64,684
128,1216
64,600
128,1316
64,528
128,1200
64,548
128,1228
256,1960
64,816
128,1652
64,828
64,544
64,540
256,1972
128,1204
128,1244
64,596
128,1408
64,516
64,568
128,1344
128,1340
128,1236
64,564
64,600
256,2364
64,928
128,1656
32,344
128,1284
128,1348
128,1260
64,716
128,992
64,584
64,600
128,1212
64,576
32,348
128,1232
128,1260
256,2084
256,2212
128,1184
128,1064
64,608
128,916
32,264
64,592
128,920
128,1092
128,1524
64,680
32,368
128,1148
64,832
64,856
64,816
256,1908
256,2272
128,1416
64,388
128,964
128,1300
128,1324
64,388
32,384
128,1356
128,1352
64,640
64,708
128,1224
64,636
64,600
128,1096
128,1296
64,776
128,1224
128,1800
128,1100
128,1364
32,420
64,704
128,960
128,1196
128,1032
64,700
128,1264
128,972
64,436
32,316
64,724
128,1284
32,372
64,444
64,580
128,1108
128,1036
256,2920
128,1032
256,1884
128,856
128,1384
128,956
64,560
256,2600
128,1376
128,1408
64,740
32,296
128,928
128,1388
128,1080
128,1172
128,1208
256,1876
32,252
128,956
128,1400
64,692
128,968
128,1280
64,616
128,1308
64,532
128,1576
32,388
64,780
64,512
128,1044
128,1228
128,1264
64,632
128,1152
64,772
64,912
64,568
128,1176
256,2360
128,1040
64,752
128,1236
128,1312
256,2320
64,564
64,564
64,476
128,1132
128,1220
64,632
128,1264
32,320
64,796
128,1416
128,1288
128,880
128,1212
64,752
128,1332
64,708
64,360
128,1228
64,780
64,560
64,564
64,532
256,3084
128,1044
128,1124
64,664
128,1288
128,1260
128,1220
128,1160
128,988
64,744
16,152
64,512
64,612
128,960
128,1280
128,1116
128,1308
256,2852
64,640
128,1104
128,1376
128,1800
128,980
64,612
128,1584
64,484
64,528
256,1932
128,1284
128,1144
128,1652
128,1312
64,552
64,628
128,1244
128,1288
256,2600
128,1152
64,548
128,1124
64,856
128,1304
128,1240
128,944
64,540
128,1264
128,892
128,1272
256,2276
64,636
32,396
128,1096
128,1244
128,1132
128,1236
128,1220
64,604
64,772
64,404
128,1724
128,1020
128,1508
128,1604
128,1276
64,908
64,840
32,284
256,2188
128,1256
64,900
128,1720
128,948
128,984
64,712
32,320
64,552
256,1896
64,832
128,1316
64,408
128,1064
64,872
64,828
64,580
64,444
128,1872
128,1148
64,704
128,1028
128,1336
128,1004
128,1108
64,508
128,1044
128,1288
64,552
64,476
64,720
32,300
32,424
64,512
256,2772
64,604
64,680
256,2648
256,2252
128,1168
128,1188
128,1028
32,412
256,2116
128,1152
128,1052
128,1260
256,2184
16,112
64,572
64,492
128,1168
64,888
128,1356
128,1076
128,1076
64,584
32,548
128,1240
128,1252
128,1124
128,1252
64,840
128,1004
128,940
128,928
32,304
32,268
64,896
128,1024
32,340
128,1076
128,1280
64,536
64,616
128,968
64,468
64,604
128,1300
128,1328
32,292
128,1456
32,384
128,844
64,652
128,1508
128,1328
64,600
64,652
256,2256
256,2276
128,1264
128,1192
64,584
64,564
128,1040
64,816
64,572
128,1212
64,556
64,640
128,1460
128,1172
128,1120
128,1588
64,824
64,552
64,504
64,660
32,344
64,480
64,876
128,1016
128,1220
128,1180
64,472
128,1520
256,2072
64,752
64,592
128,1168
128,1224
128,848
64,744
128,1396
32,232
128,968
128,1560
64,992
64,824
128,1288
128,1264
64,556
64,600
256,2248
64,640
128,1004
128,976
256,2560
64,444
64,668
256,2076
128,1284
32,300
128,1304
64,588
64,660
128,1088
128,1148
64,724
128,1132
64,556
128,1228
64,840
128,1424
64,604
32,372
128,1468
128,1140
32,484
128,1524
64,604
64,612
64,524
64,544
64,788
128,1168
64,780
128,1460
128,1184
256,2076
128,1388
32,236
128,1272
64,508
64,644
64,712
128,1204
64,676
128,1500
128,1220
64,488
128,960
128,1060
128,1584
64,452
128,1272
128,980
128,1368
128,1052
256,3072
128,992
128,2200
128,1112
128,988
64,596
128,1380
64,648
64,612
64,932
256,1916
128,916
64,784
128,1240
64,596
64,708
128,1264
64,500
64,556
128,1128
128,1240
32,368
128,936
32,260
128,1220
128,1108
128,1112
64,980
128,1492
128,1740
128,1196
64,472
128,1356
64,856
128,1132
128,1428
128,1268
128,1300
128,968
128,1008
128,1140
128,1636
32,356
128,1016
128,1104
128,1092
128,1520
64,508
128,1280
128,968
128,1116
128,1208
128,1416
64,908
64,432
32,356
32,440
64,912
128,1292
256,2156
128,1620
64,524
64,548
128,1244
128,1196
128,1268
128,1664
128,1228
64,608
64,608
128,1472
64,792
128,1300
32,356
256,2248
64,900
128,1048
128,1328
128,804
64,580
64,520
32,280
128,1296
64,812
128,1248
64,816
32,348
64,412
64,596
128,1052
32,252
128,1308
64,708
128,1340
64,572
64,592
64,528
64,532
64,636
128,1640
256,2572
64,440
64,584
256,2772
128,1180
64,600
128,1212
128,1216
128,1280
128,1032
64,588
64,920
128,1004
128,1064
256,2076
128,924
64,704
64,588
64,820
128,1180
64,628
256,2012
64,652
128,1320
64,732
256,1840
256,2280
64,656
32,228
64,616
64,508
64,628
64,660
128,916
64,640
256,2064
128,1032
128,1424
128,952
64,588
128,1160
128,980
128,1500
128,988
128,1212
64,616
128,1188
128,1272
256,2168
128,1212
128,1024
64,760
64,372
64,816
64,548
64,620
128,1660
128,976
128,1188
128,1028
64,656
64,692
128,1032
128,988
128,872
128,996
128,1228
64,808
128,1188
128,1316
64,944
64,840
64,612
128,1196
64,612
64,744
32,356
128,1112
128,1260
128,1012
256,2164
128,1288
64,796
64,372
128,1188
32,288
128,1068
128,1240
64,620
128,1152
32,304
128,1372
128,1896
128,1164
64,472
128,1184
128,1204
64,700
128,1236
256,2324
128,1136
128,1020
128,976
128,1244
128,1176
128,1080
128,1244
128,1196
64,716
128,1296
128,1916
64,500
128,1288
64,552
64,696
64,536
128,1188
128,1040
128,1124
128,1068
64,616
128,1060
256,2732
128,896
128,1240
128,968
64,640
128,1232
128,976
128,1320
256,1884
128,1076
64,580
64,708
64,672
128,1160
64,568
128,1020
64,652
64,500
128,1300
128,1316
32,416
128,1304
64,656
256,2360
64,912
128,1144
128,1216
64,656
64,676
128,1200
64,404
128,1124
64,448
64,528
64,488
32,388
64,584
256,2180
128,1220
128,1128
256,2204
64,404
256,2288
64,516
64,484
64,572
64,524
